"order_month","customer_state","orders_s","gmv_s","aov_s"
"2017-06-01 00:00:00.000","PE","41","5489.0599999999995","133.87951219512195"
"2018-07-01 00:00:00.000","PB","51","15188.679999999998","297.8172549019608"
"2018-07-01 00:00:00.000","PE","136","24359.039999999997","179.1105882352941"
"2018-07-01 00:00:00.000","BA","245","41869.00999999997","170.89391836734683"
"2018-07-01 00:00:00.000","PA","57","13195.939999999999","231.5077192982456"
"2018-07-01 00:00:00.000","CE","84","13487.42","160.56452380952382"
"2018-07-01 00:00:00.000","RO","16","4503.8","281.4875"
"2018-07-01 00:00:00.000","MS","49","6810.83","138.9965306122449"
"2018-02-01 00:00:00.000","SC","254","31886.249999999978","125.53641732283457"
"2018-02-01 00:00:00.000","BA","208","31583.019999999982","151.84144230769223"
"2018-02-01 00:00:00.000","RN","23","3204.87","139.34217391304347"
"2018-02-01 00:00:00.000","TO","20","2635.65","131.7825"
"2018-02-01 00:00:00.000","RO","13","1579.38","121.49076923076925"
"2018-01-01 00:00:00.000","CE","77","12064.159999999998","156.67740259740256"
"2017-11-01 00:00:00.000","SC","288","37870.89999999997","131.49618055555547"
"2017-11-01 00:00:00.000","MG","922","132686.09000000023","143.91116052060764"
"2017-11-01 00:00:00.000","PR","365","45751.33999999997","125.34613698630127"
"2017-11-01 00:00:00.000","RS","409","57463.269999999946","140.49699266503654"
"2017-11-01 00:00:00.000","MA","53","9838.59","185.63377358490567"
"2017-11-01 00:00:00.000","AM","10","2635.25","263.525"
"2018-06-01 00:00:00.000","RJ","707","100123.89000000012","141.6179490806225"
"2018-06-01 00:00:00.000","GO","105","14358.059999999998","136.74342857142855"
"2018-06-01 00:00:00.000","MS","49","8887.250000000002","181.37244897959187"
"2018-06-01 00:00:00.000","MT","58","10335.289999999999","178.19465517241377"
"2018-06-01 00:00:00.000","TO","18","4049.42","224.96777777777777"
"2018-06-01 00:00:00.000","AC","3","427.9","142.63333333333333"
"2018-06-01 00:00:00.000","AP","2","167.48","83.74"
"2018-04-01 00:00:00.000","MT","64","11354.49","177.41390625"
"2018-04-01 00:00:00.000","SP","3002","391246.9899999995","130.3287774816787"
"2018-04-01 00:00:00.000","PE","110","17071.609999999997","155.19645454545451"
"2018-04-01 00:00:00.000","PA","66","11155.98","169.03"
"2018-04-01 00:00:00.000","PB","28","4215.25","150.54464285714286"
"2018-04-01 00:00:00.000","RR","2","712.65","356.325"
"2017-03-01 00:00:00.000","SP","966","131720.93000000034","136.3570703933751"
"2017-03-01 00:00:00.000","DF","54","6803.97","125.99944444444445"
"2017-03-01 00:00:00.000","AP","3","303.79","101.26333333333334"
"2017-03-01 00:00:00.000","PE","36","5182.65","143.96249999999998"
"2017-10-01 00:00:00.000","PE","77","17120.19","222.34012987012986"
"2017-10-01 00:00:00.000","PA","52","6722.580000000001","129.28038461538463"
"2017-10-01 00:00:00.000","SC","174","21022.549999999996","120.81925287356319"
"2017-10-01 00:00:00.000","MA","48","10335.8","215.32916666666665"
"2017-09-01 00:00:00.000","RS","273","37058.269999999975","135.74457875457867"
