"order_month","main_category","orders_c","gmv_c","aov_c"
"2017-01-01 00:00:00.000","telefonia_fixa","19","677.1200000000001","35.637894736842114"
"2017-01-01 00:00:00.000","eletronicos","11","617.0","56.09090909090909"
"2017-01-01 00:00:00.000","livros_interesse_geral","2","234.89","117.445"
"2017-01-01 00:00:00.000","pet_shop","12","799.12","66.59333333333333"
"2017-01-01 00:00:00.000","eletroportateis","6","1660.7900000000002","276.79833333333335"
"2017-01-01 00:00:00.000","alimentos","2","42.82","21.41"
"2018-05-01 00:00:00.000","cama_mesa_banho","595","71047.77999999998","119.40803361344535"
"2018-05-01 00:00:00.000","utilidades_domesticas","489","62910.58999999997","128.65151329243346"
"2018-05-01 00:00:00.000","moveis_decoracao","452","53955.519999999946","119.37061946902642"
"2018-05-01 00:00:00.000","eletrodomesticos","63","6149.67","97.61380952380952"
"2018-05-01 00:00:00.000","papelaria","122","12948.480000000001","106.13508196721313"
"2018-05-01 00:00:00.000","casa_conforto","18","2832.69","157.37166666666667"
"2018-05-01 00:00:00.000","fashion_underwear_e_moda_praia","5","207.4","41.480000000000004"
"2018-05-01 00:00:00.000","bebidas","32","2477.09","77.4090625"
"2018-05-01 00:00:00.000","alimentos_bebidas","15","1239.44","82.62933333333334"
"2018-05-01 00:00:00.000","instrumentos_musicais","58","18746.08","323.208275862069"
"2018-05-01 00:00:00.000","moveis_cozinha_area_de_servico_jantar_e_jardim","10","2310.09","231.00900000000001"
"2018-05-01 00:00:00.000","telefonia_fixa","11","1846.2","167.83636363636364"
"2018-05-01 00:00:00.000","agro_industria_e_comercio","8","3279.75","409.96875"
"2018-05-01 00:00:00.000","dvds_blu_ray","6","439.94","73.32333333333334"
"2017-11-01 00:00:00.000","esporte_lazer","540","62395.639999999956","115.5474814814814"
"2017-11-01 00:00:00.000","informatica_acessorios","431","70092.70999999999","162.6280974477958"
"2017-11-01 00:00:00.000","telefonia","340","26027.14999999997","76.5504411764705"
"2017-11-01 00:00:00.000","malas_acessorios","63","8301.15","131.7642857142857"
"2017-11-01 00:00:00.000","pet_shop","82","11167.79","136.19256097560978"
"2017-11-01 00:00:00.000","pcs","7","9768.0","1395.4285714285713"
"2017-11-01 00:00:00.000","flores","6","208.2","34.699999999999996"
"2017-11-01 00:00:00.000","moveis_cozinha_area_de_servico_jantar_e_jardim","28","5007.39","178.83535714285716"
"2017-11-01 00:00:00.000","eletroportateis","27","6801.82","251.91925925925923"
"2017-11-01 00:00:00.000","moveis_colchao_e_estofado","2","334.0","167.0"
"2017-11-01 00:00:00.000","consoles_games","121","11793.27","97.46504132231405"
"2017-11-01 00:00:00.000","audio","33","3677.2299999999996","111.43121212121211"
"2017-11-01 00:00:00.000","construcao_ferramentas_construcao","36","6993.560000000001","194.26555555555558"
